"","X","lon2","lat2","Cod.Barco","Vel.VMS","Rumbo.VMS","Puerto.0.Mar.1","Dist.Puerto","Dif.Tiempo","Dist.Emisiones","Vel.Cal","Cambio.Rumbo.Calc","Cod.Viaje.VMS","Move","Dist.Costa","Flota","Dur.Viaje","month","ind.t","DATE.INTERP","LONGITUDE","LATITUDE","Date"
"756882","2118-6.844861",-5106964,2106551,2118,6.8,259.8339,1,0.9113526,1.037222,1.210681,1.167234,100.1661,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 00:00:00,-78.6264,-9.0821,2016-07-09 19:00:00
"756883","2118-6.1",-5107072,2106868,2118,6.8,259.8339,1,0.9113526,1.037222,1.210681,1.167234,100.1661,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 00:10:00,-78.62856,-9.081625,2016-07-09 19:00:00
"756884","2118-6.2",-5107832,2109685,2118,7,291.4577,0,2.04878,0.1463889,1.039379,7.100119,68.54233,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 00:20:00,-78.64594,-9.075357,2016-07-09 19:00:00
"756885","2118-6.3",-5108593,2112530,2118,7.1,290.1839,0,3.062245,0.1494444,1.060939,7.099219,69.81614,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 00:30:00,-78.66343,-9.068961,2016-07-09 19:00:00
"756886","2118-6.4",-5109316,2115402,2118,7.4,291.457,0,3.721747,0.1458333,1.039343,7.126922,68.54296,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 00:40:00,-78.68069,-9.062053,2016-07-09 19:00:00
"756887","2118-6.5",-5109939,2118321,2118,6.7,294.664,0,4.336886,0.1708333,1.214151,7.107225,65.33596,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 00:50:00,-78.69724,-9.053925,2016-07-09 19:00:00
"756888","2118-6.6",-5110340,2121391,2118,6.7,305.2721,0,4.740538,0.1472222,1.089934,7.403325,54.7279,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 01:00:00,-78.71238,-9.042819,2016-07-09 19:00:00
"756889","2118-6.7",-5110645,2124492,2118,7.4,310.0122,0,4.866161,0.1347222,1.004672,7.457358,49.98779,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 01:10:00,-78.72676,-9.03059,2016-07-09 19:00:00
"756890","2118-6.8",-5110883,2127629,2118,7.4,315.6031,0,5.756185,0.14,1.07493,7.678074,44.3969,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 01:20:00,-78.74071,-9.017528,2016-07-09 19:00:00
"756891","2118-6.9",-5111148,2130769,2118,6.8,310.513,0,6.54894,0.1613889,1.219968,7.559181,49.48696,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 01:30:00,-78.75492,-9.004734,2016-07-09 19:00:00
"756892","2118-6.10",-5111540,2133870,2118,6.9,305.268,0,7.405703,0.1461111,1.089492,7.456601,54.73202,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 01:40:00,-78.77012,-8.993421,2016-07-09 19:00:00
"756893","2118-6.11",-5111770,2136991,2118,7.2,315.799,0,8.318881,0.1591667,1.210738,7.606734,44.20102,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 01:50:00,-78.78395,-8.980377,2016-07-09 19:00:00
"756894","2118-6.12",-5112162,2140120,2118,7.3,305.4115,0,9.246102,0.1391667,1.051353,7.554632,54.58848,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 02:00:00,-78.79928,-8.968947,2016-07-09 19:00:00
"756895","2118-6.13",-5112615,2143226,2118,7.3,304.189,0,10.3416,0.16,1.199836,7.498978,55.81097,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 02:10:00,-78.81507,-8.958267,2016-07-09 19:00:00
"756896","2118-6.14",-5112969,2146361,2118,6.6,308.6291,0,11.35425,0.1477778,1.117692,7.563332,51.37086,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 02:20:00,-78.8301,-8.946448,2016-07-09 19:00:00
"756897","2118-6.15",-5113290,2149480,2118,7.2,307.9798,0,12.26231,0.1297222,0.9819242,7.569437,52.02017,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 02:30:00,-78.84478,-8.934387,2016-07-09 19:00:00
"756898","2118-6.16",-5113471,2152416,2118,6.6,312.6983,0,13.46459,0.1763889,1.316992,7.466409,47.30169,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 02:40:00,-78.85751,-8.921811,2016-07-09 19:00:00
"756899","2118-6.17",-5113516,2155179,2118,6.3,320.6359,0,15.17901,0.1327778,0.9664074,7.278382,39.3641,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 02:50:00,-78.86838,-8.908718,2016-07-09 19:00:00
"756900","2118-6.18",-5113589,2158180,2118,4,318.9192,0,16.28298,0.1630556,1.20383,7.382943,41.08081,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 03:00:00,-78.88042,-8.894757,2016-07-09 19:00:00
"756901","2118-6.19",-5113561,2159624,2118,0.8,340.6804,0,16.44572,0.1383333,0.2134801,1.54323,19.31961,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 03:10:00,-78.88565,-8.887397,2016-07-09 19:00:00
"756902","2118-6.20",-5113473,2160092,2118,1.2,343.4728,0,16.59523,0.1641667,0.2020074,1.230502,16.52723,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 03:20:00,-78.88664,-8.884223,2016-07-09 19:00:00
"756903","2118-6.21",-5113394,2160549,2118,2,341.0344,0,16.71664,0.1261111,0.157913,1.252174,18.96558,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 03:30:00,-78.88767,-8.881178,2016-07-09 19:00:00
"756904","2118-6.22",-5113309,2161000,2118,2.1,342.3813,0,16.86117,0.1508333,0.1901462,1.260638,17.61866,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 03:40:00,-78.88862,-8.878119,2016-07-09 19:00:00
"756905","2118-6.23",-5113221,2161413,2118,1.2,345.6323,0,16.99217,0.1558333,0.1789065,1.148063,14.36765,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 03:50:00,-78.88941,-8.875205,2016-07-09 19:00:00
"756906","2118-6.24",-5113134,2161842,2118,2.4,343.7019,0,17.12944,0.15,0.1814704,1.209803,16.2981,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 04:00:00,-78.89026,-8.872226,2016-07-09 19:00:00
"756907","2118-6.25",-5113049,2162255,2118,1.1,345.2217,0,17.27818,0.1702778,0.1993635,1.170814,14.77833,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 04:10:00,-78.89106,-8.869334,2016-07-09 19:00:00
"756908","2118-6.26",-5112961,2162664,2118,1.7,347.1554,0,17.5228,0.145,0.1704484,1.175506,12.84456,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 04:20:00,-78.89184,-8.866446,2016-07-09 19:00:00
"756909","2118-6.27",-5112846,2163723,2118,4.6,332.5296,0,18.01405,0.1502778,0.5651186,3.760494,27.47039,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 04:30:00,-78.89483,-8.860102,2016-07-09 19:00:00
"756910","2118-6.28",-5112778,2165865,2118,6.2,324.736,0,18.889,0.1577778,0.9452626,5.991101,35.26401,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 04:40:00,-78.90237,-8.848938,2016-07-09 19:00:00
"756911","2118-6.29",-5112587,2168542,2118,6.6,332.4032,0,19.80204,0.145,1.027266,7.084594,27.59676,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 04:50:00,-78.91085,-8.833912,2016-07-09 19:00:00
"756912","2118-6.30",-5112171,2171244,2118,6.7,340.2958,0,20.67038,0.1411111,1.028778,7.290556,19.70417,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 05:00:00,-78.91741,-8.816492,2016-07-09 19:00:00
"756913","2118-6.31",-5111724,2173901,2118,6.9,341.447,0,21.5937,0.1508333,1.087197,7.207938,18.553,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 05:10:00,-78.92354,-8.798991,2016-07-09 19:00:00
"756914","2118-6.32",-5111351,2176628,2118,6.6,337.6424,0,22.68134,0.1686111,1.222337,7.249448,22.35761,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 05:20:00,-78.93061,-8.781906,2016-07-09 19:00:00
"756915","2118-6.33",-5110937,2179285,2118,6.7,338.5724,0,23.5639,0.1383333,0.9877555,7.140401,21.42755,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 05:30:00,-78.93705,-8.764743,2016-07-09 19:00:00
"756916","2118-6.34",-5110475,2181990,2118,7.1,342.1175,0,24.42323,0.1366667,0.9788768,7.162513,17.88253,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 05:40:00,-78.94326,-8.746878,2016-07-09 19:00:00
"756917","2118-6.35",-5110134,2184894,2118,7.8,330.9259,0,26.72771,0.1572222,1.20876,7.688228,29.07405,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 05:50:00,-78.95131,-8.729271,2016-07-09 19:00:00
"756918","2118-6.36",-5110032,2187988,2118,6.5,321.9769,0,27.84511,0.1455556,1.131762,7.775467,38.0231,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 06:00:00,-78.96223,-8.713167,2016-07-09 19:00:00
"756919","2118-6.37",-5109970,2191146,2118,7.3,325.8212,0,28.64592,0.1336111,1.050936,7.865637,34.17876,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 06:10:00,-78.97377,-8.697169,2016-07-09 19:00:00
"756920","2118-6.38",-5109820,2194276,2118,7.8,328.1872,0,27.59382,0.1516667,1.192144,7.86029,31.81277,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 06:20:00,-78.98442,-8.680424,2016-07-09 19:00:00
"756921","2118-6.39",-5109674,2197372,2118,7.4,328.151,0,26.58727,0.1477778,1.153493,7.805593,31.84902,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 06:30:00,-78.99499,-8.6639,2016-07-09 19:00:00
"756922","2118-6.40",-5109728,2200237,2118,4.4,319.5693,0,25.73477,0.1494444,1.075209,7.194708,40.4307,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 06:40:00,-79.00646,-8.650523,2016-07-09 19:00:00
"756923","2118-6.41",-5109759,2202124,2118,5.2,320.5713,0,25.04983,0.145,0.8697724,5.998431,39.42866,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 06:50:00,-79.01398,-8.641678,2016-07-09 19:00:00
"756924","2118-6.42",-5109796,2202624,2118,0.8,312.8481,0,24.89813,0.1719444,0.2149588,1.250164,47.15185,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 07:00:00,-79.01623,-8.639625,2016-07-09 19:00:00
"756925","2118-6.43",-5109824,2203062,2118,0,311.9583,0,24.78801,0.1461111,0.1589315,1.087744,48.04173,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 07:10:00,-79.01816,-8.637789,2016-07-09 19:00:00
"756926","2118-6.44",-5109897,2204364,2118,7.1,314.6403,0,24.13123,0.1658333,0.7854381,4.73631,45.3597,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 07:20:00,-79.02381,-8.632203,2016-07-09 19:00:00
"756927","2118-6.45",-5109969,2206874,2118,6.6,320.1731,0,23.38984,0.14,0.9958905,7.113504,39.82694,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 07:30:00,-79.0341,-8.620759,2016-07-09 19:00:00
"756928","2118-6.46",-5109995,2209922,2118,7.7,321.0276,0,22.49589,0.1611111,1.222831,7.589986,38.97238,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 07:40:00,-79.04606,-8.606252,2016-07-09 19:00:00
"756929","2118-6.47",-5110053,2213144,2118,7.8,319.2252,0,21.69385,0.1469444,1.167903,7.94792,40.77478,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 07:50:00,-79.05897,-8.591234,2016-07-09 19:00:00
"756930","2118-6.48",-5109991,2216342,2118,6.7,324.7685,0,20.79992,0.1580556,1.25065,7.912726,35.23148,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 08:00:00,-79.07074,-8.57512,2016-07-09 19:00:00
"756931","2118-6.49",-5110097,2219601,2118,7.2,317.4918,0,20.12801,0.1402778,1.109286,7.907784,42.50816,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 08:10:00,-79.08424,-8.560425,2016-07-09 19:00:00
"756932","2118-6.50",-5110265,2222921,2118,7,315.9511,0,19.42828,0.1586111,1.276061,8.045218,44.04887,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 08:20:00,-79.09854,-8.546071,2016-07-09 19:00:00
"756933","2118-6.51",-5110488,2226230,2118,7.1,312.3987,0,18.8834,0.1491667,1.190856,7.983395,47.60135,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 08:30:00,-79.11331,-8.532356,2016-07-09 19:00:00
"756934","2118-6.52",-5110617,2229509,2118,7.4,315.5768,0,18.42139,0.1283333,1.023297,7.973746,44.42315,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 08:40:00,-79.12713,-8.517837,2016-07-09 19:00:00
"756935","2118-6.53",-5110726,2232766,2118,7.3,317.9713,0,17.81547,0.1783333,1.413389,7.925544,42.02873,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 08:50:00,-79.14069,-8.503228,2016-07-09 19:00:00
"756936","2118-6.54",-5110830,2236008,2118,7.1,318.4042,0,17.07292,0.1322222,1.039269,7.860019,41.59576,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 09:00:00,-79.15416,-8.488655,2016-07-09 19:00:00
"756937","2118-6.55",-5110730,2238740,2118,0.6,329.3739,0,16.64179,0.1636111,1.050463,6.420488,30.62614,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 09:10:00,-79.16386,-8.474481,2016-07-09 19:00:00
"756938","2118-6.56",-5110766,2239652,2118,3.7,284.9063,0,16.67336,0.1377778,0.1225323,0.8893472,75.09367,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 09:20:00,-79.16771,-8.47045,2016-07-09 19:00:00
"756939","2118-6.57",-5110861,2240343,2118,6.9,305.0725,0,16.66453,0.1652778,0.2865641,1.733833,54.92755,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 09:30:00,-79.17123,-8.468089,2016-07-09 19:00:00
"756940","2118-6.58",-5111240,2242694,2118,6.7,294.9782,0,16.7705,0.1255556,0.7202056,5.736151,65.02182,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 09:40:00,-79.18371,-8.46062,2016-07-09 19:00:00
"756941","2118-6.59",-5111209,2245765,2118,7.1,322.3692,0,16.55116,0.1508333,1.139198,7.552696,37.63078,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 09:50:00,-79.19534,-8.445528,2016-07-09 19:00:00
"756942","2118-6.60",-5111133,2248680,2118,7.7,323.4925,0,16.38551,0.1561111,1.179368,7.554674,36.50754,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 10:00:00,-79.20599,-8.430741,2016-07-09 19:00:00
"756943","2118-6.61",-5110982,2251240,2118,6.9,327.0161,0,16.26155,0.1508333,0.9851251,6.531216,32.98389,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 10:10:00,-79.2146,-8.416918,2016-07-09 19:00:00
"756944","2118-6.62",-5110662,2253685,2118,6.6,344.2678,0,15.91155,0.1372222,0.9131177,6.654299,15.7322,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 10:20:00,-79.22126,-8.401922,2016-07-09 19:00:00
"756945","2118-6.63",-5109839,2255118,2118,6.4,23.30795,0,15.31778,0.145,0.7632765,5.263976,23.30795,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 10:30:00,-79.21954,-8.386691,2016-07-09 19:00:00
"756946","2118-6.64",-5108975,2256195,2118,6.3,9.800749,0,14.88984,0.1519444,0.7563106,4.977547,9.800749,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 10:40:00,-79.21606,-8.372749,2016-07-09 19:00:00
"756947","2118-6.65",-5108949,2257930,2118,6.4,310.7284,0,15.13001,0.1563889,0.6997322,4.474309,49.27163,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 10:50:00,-79.22258,-8.364156,2016-07-09 19:00:00
"756948","2118-6.66",-5109743,2258791,2118,5.9,241.9619,0,15.70373,0.1452778,0.5739348,3.950603,118.0381,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 11:00:00,-79.23298,-8.368091,2016-07-09 19:00:00
"756949","2118-6.67",-5109456,2259278,2118,6,18.83754,0,15.59064,0.1413889,0.1756955,1.24264,18.83754,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 11:10:00,-79.23233,-8.362846,2016-07-09 19:00:00
"756950","2118-6.68",-5108944,2261390,2118,5.9,352.0707,0,15.41225,0.1508333,0.8999798,5.966717,7.929262,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 11:20:00,-79.23602,-8.347519,2016-07-09 19:00:00
"756951","2118-6.69",-5108829,2264015,2118,6.7,330.1287,0,15.62234,0.1677778,1.085523,6.470002,29.87129,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 11:30:00,-79.24523,-8.333765,2016-07-09 19:00:00
"756952","2118-6.70",-5108947,2266876,2118,7.3,315.306,0,15.62899,0.1394444,0.9604971,6.888027,44.69402,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 11:40:00,-79.25744,-8.321263,2016-07-09 19:00:00
"756953","2118-6.71",-5108681,2268484,2118,5.7,11.31683,0,14.78516,0.17,0.534,3.141177,11.31683,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 11:50:00,-79.26136,-8.310866,2016-07-09 19:00:00
"756954","2118-6.72",-5108360,2268754,2118,1.4,52.31911,0,14.68079,0.1563889,0.1156605,0.7395701,52.31911,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 12:00:00,-79.25957,-8.306313,2016-07-09 19:00:00
"756955","2118-6.73",-5108284,2268791,2118,0,341.7455,0,14.65457,0.1455556,0.04073795,0.2798791,18.2545,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 12:10:00,-79.25904,-8.305367,2016-07-09 19:00:00
"756956","2118-6.74",-5108293,2268883,2118,0,296.7499,0,14.65334,0.1333333,0.02882232,0.2161674,63.25014,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 12:20:00,-79.25948,-8.305011,2016-07-09 19:00:00
"756957","2118-6.75",-5108293,2268973,2118,0.7,323.5111,0,14.63968,0.1522222,0.03292993,0.216328,36.48893,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 12:30:00,-79.25983,-8.30458,2016-07-09 19:00:00
"756958","2118-6.76",-5108306,2269116,2118,0,303.9251,0,14.63293,0.1472222,0.04705737,0.319635,56.07488,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 12:40:00,-79.26051,-8.304039,2016-07-09 19:00:00
"756959","2118-6.77",-5108296,2269305,2118,0,326.588,0,14.60095,0.1494444,0.07120383,0.4764568,33.41198,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 12:50:00,-79.26115,-8.303027,2016-07-09 19:00:00
"756960","2118-6.78",-5108250,2269537,2118,1.3,331.2009,0,14.56693,0.1447222,0.06748376,0.4662985,28.79906,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 13:00:00,-79.26165,-8.301446,2016-07-09 19:00:00
"756961","2118-6.79",-5108150,2269828,2118,0.6,351.0034,0,14.45023,0.1725,0.1593251,0.923624,8.996632,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 13:10:00,-79.2619,-8.299038,2016-07-09 19:00:00
"756962","2118-6.80",-5108046,2270079,2118,0.9,356.6687,0,14.26213,0.1347222,0.1053359,0.7818745,3.331312,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 13:20:00,-79.26196,-8.296783,2016-07-09 19:00:00
"756963","2118-6.81",-5107949,2270342,2118,1,355.082,0,14.15235,0.1663889,0.1435188,0.8625506,4.918021,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 13:30:00,-79.26214,-8.294545,2016-07-09 19:00:00
"756964","2118-6.82",-5107855,2270634,2118,0.5,351.5849,0,14.06048,0.1402778,0.1270376,0.9056144,8.415142,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 13:40:00,-79.26244,-8.292192,2016-07-09 19:00:00
"756965","2118-6.83",-5107314,2270223,2118,6.2,63.81765,0,13.70132,0.1594444,0.4512714,2.830273,63.81765,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 13:50:00,-79.25604,-8.288658,2016-07-09 19:00:00
"756966","2118-6.84",-5106698,2269676,2118,2.1,64.23615,0,13.38394,0.1475,0.4075827,2.763272,64.23615,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 14:00:00,-79.24845,-8.285024,2016-07-09 19:00:00
"756967","2118-6.85",-5106109,2269389,2118,3.8,55.82563,0,13.02148,0.1591667,0.4177732,2.624753,55.82563,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 14:10:00,-79.24211,-8.280415,2016-07-09 19:00:00
"756968","2118-6.86",-5105951,2270508,2118,3.5,339.0478,0,12.75973,0.1391667,0.4304202,3.092839,20.95224,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 14:20:00,-79.24508,-8.273455,2016-07-09 19:00:00
"756969","2118-6.87",-5105898,2271353,2118,1.4,327.1265,0,12.59155,0.1588889,0.3849562,2.422801,32.87348,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 14:30:00,-79.24791,-8.268872,2016-07-09 19:00:00
"756970","2118-6.88",-5106049,2271660,2118,1.1,337.2819,0,12.49095,0.1488889,0.1833523,1.231471,22.71813,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 14:40:00,-79.25045,-8.268933,2016-07-09 19:00:00
"756971","2118-6.89",-5106710,2272500,2118,6.6,266.4404,0,13.18352,0.1777778,0.7637836,4.296283,93.55958,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 14:50:00,-79.25959,-8.271636,2016-07-09 19:00:00
"756972","2118-6.90",-5106741,2272983,2118,4.7,57.48315,0,12.8078,0.1488889,0.4171828,2.801974,57.48315,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 15:00:00,-79.26175,-8.269636,2016-07-09 19:00:00
"756973","2118-6.91",-5106842,2272810,2118,6.5,219.2656,0,13.13154,0.1327778,0.3245267,2.444134,140.7344,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 15:10:00,-79.26197,-8.27149,2016-07-09 19:00:00
"756974","2118-6.92",-5108000,2272991,2118,6,225.4183,0,14.02828,0.1641667,0.913595,5.565045,134.5817,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 15:20:00,-79.27293,-8.282383,2016-07-09 19:00:00
"756975","2118-6.93",-5108574,2273765,2118,5.6,266.2688,0,14.22624,0.1375,0.3640658,2.647751,93.73125,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 15:30:00,-79.28105,-8.284513,2016-07-09 19:00:00
"756976","2118-6.94",-5107770,2274617,2118,1.2,15.72255,0,13.55916,0.1647222,0.7404937,4.495409,15.72255,"2118-6",NA,NA,NA,3.422488,7,0,2016-07-10 15:40:00,-79.27726,-8.27228,2016-07-09 19:00:00
